12:24:44.526 [main] WARN  c.b.config.BrowserStackConfig - Test Observability could not be enabled because framework detected is java. We currently support frameworks testng, cucumber-testng & serenity
12:24:45.023 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
12:24:52.550 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
12:24:53.626 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\bharathy.perumal\Downloads\WebUI-Automation-Framework-GitCopy\WebUI-Automation-Framework-master\browserstack.yml
12:24:53.628 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\bharathy.perumal\Downloads\WebUI-Automation-Framework-GitCopy\WebUI-Automation-Framework-master\browserstack.yml
12:24:53.744 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
12:24:53.744 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
12:24:56.157 [main] ERROR c.b.utils.GlobalExceptionHandler - Global SDK Exception - java.lang.NoClassDefFoundError: org/testng/log4testng/Logger
12:24:56.167 [main] ERROR c.b.utils.GlobalExceptionHandler - Global SDK Exception - java.lang.NoClassDefFoundError: org/testng/log4testng/Logger
12:25:31.279 [Thread-3] INFO  com.browserstack.LocalFactory - BrowserStack Local Stopped Successfully.
12:31:46.125 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.8.3
12:31:46.133 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
12:31:46.421 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\bharathy.perumal\Downloads\WebUI-Automation-Framework-GitCopy\WebUI-Automation-Framework-master\browserstack.yml
12:31:46.505 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:31:46.519 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
12:31:46.825 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
12:31:49.765 [main] WARN  c.b.config.BrowserStackConfig - Test Observability could not be enabled. Your cucumber-core dependency version is 6.10.0 which is lower than the minimum version we currently support (7.3.0).
12:31:52.756 [main] INFO  c.b.config.BrowserStackConfig - INFO
12:31:52.757 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
12:32:22.191 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ to view build report, insights, and many more debugging information all at one place!

